iter	RMSE
0	0.1542199436
1	0.142408688
2	0.1358896238
3	0.1315509315
4	0.1295858757
5	0.1257854788
6	0.1242687059
7	0.1235051317
8	0.1226112027
9	0.1208734386
10	0.1203179746
11	0.1200718465
12	0.1186220392
13	0.1184953583
14	0.1174799948
15	0.1161094401
16	0.1157697908
17	0.1151231358
18	0.1134836947
19	0.1125902805
20	0.1125169357
21	0.1116886524
22	0.1112223129
23	0.1108290009
24	0.1104367009
25	0.1102376258
26	0.1102023195
27	0.1099177811
28	0.1094999102
29	0.1089185406
30	0.1088268763
31	0.1080967977
32	0.1077847971
33	0.1075815755
34	0.1075161097
35	0.1066072959
36	0.1061643427
37	0.1049321071
38	0.1049085877
39	0.1043176032
40	0.1042907636
41	0.104255651
42	0.1036915578
43	0.1036532148
44	0.1036314351
45	0.1036073428
46	0.1034853184
47	0.1034311232
48	0.103412711
49	0.1030909611
