iter	Passed	Remaining
0	18	908
1	46	1119
2	63	995
3	85	985
4	121	1090
5	140	1027
6	161	991
7	187	984
8	210	960
9	244	977
10	266	944
11	303	961
12	328	934
13	350	901
14	371	866
15	392	833
16	414	804
17	435	774
18	456	744
19	477	716
20	511	706
21	532	677
22	554	650
23	575	623
24	598	598
25	641	591
26	664	566
27	699	549
28	720	521
29	746	497
30	785	481
31	819	461
32	840	433
33	861	405
34	882	378
35	903	351
36	923	324
37	944	298
38	979	276
39	1000	250
40	1021	224
41	1052	200
42	1075	175
43	1096	149
44	1116	124
45	1144	99
46	1165	74
47	1185	49
48	1206	24
49	1227	0
